"subjects"	"S"	"flankers"	"R"	"rt"
"3774"	"6"	"left"	"incongruent"	"left"	0.344944345181008
"1110"	"6"	"left"	"congruent"	"left"	0.347692987185313
"2154"	"6"	"right"	"incongruent"	"left"	0.715797329253258
"2538"	"6"	"right"	"incongruent"	"right"	0.671457423957862
"3366"	"6"	"left"	"congruent"	"left"	0.408986138103654
"4578"	"6"	"right"	"congruent"	"right"	0.584043416999674
"5214"	"6"	"left"	"incongruent"	"left"	0.347507173854522
"3522"	"6"	"right"	"congruent"	"right"	0.185285342000307
"1386"	"6"	"right"	"incongruent"	"right"	0.211135959317704
"2814"	"6"	"left"	"incongruent"	"right"	0.216087198542803
"2130"	"6"	"right"	"congruent"	"right"	0.410543748177781
"2898"	"6"	"right"	"congruent"	"right"	0.252221435306584
"5262"	"6"	"left"	"incongruent"	"left"	0.582866739732315
"2070"	"6"	"left"	"congruent"	"left"	0.262152946161298
"2178"	"6"	"right"	"congruent"	"right"	0.635141361606314
"2238"	"6"	"left"	"incongruent"	"left"	0.213473346416808
"2910"	"6"	"left"	"incongruent"	"left"	0.405928495554748
"2934"	"6"	"left"	"congruent"	"left"	0.255464821582158
"762"	"6"	"right"	"incongruent"	"right"	0.360550570532254
"342"	"6"	"left"	"congruent"	"left"	0.223636943309936
"2370"	"6"	"right"	"congruent"	"right"	0.43039037739275
"906"	"6"	"right"	"incongruent"	"right"	0.407694758840485
"1350"	"6"	"left"	"congruent"	"left"	0.282684553966486
"2034"	"6"	"right"	"congruent"	"right"	0.278430992266523
"1218"	"6"	"right"	"congruent"	"right"	1.72024545114504
"1722"	"6"	"right"	"incongruent"	"left"	0.248058479154047
"3354"	"6"	"right"	"incongruent"	"right"	0.273686769905463
"234"	"6"	"right"	"incongruent"	"right"	0.278244489598024
"2286"	"6"	"left"	"incongruent"	"left"	0.244762878162023
"1866"	"6"	"right"	"incongruent"	"right"	1.64107392079656
"2646"	"6"	"left"	"congruent"	"right"	0.195281822209627
"4758"	"6"	"left"	"congruent"	"left"	0.202335327102543
"222"	"6"	"left"	"incongruent"	"left"	0.251440833483671
"534"	"6"	"left"	"congruent"	"left"	0.226634966510022
"882"	"6"	"right"	"congruent"	"right"	0.451834932816883
"2850"	"6"	"right"	"congruent"	"right"	0.426160185193125
"1074"	"6"	"right"	"congruent"	"right"	0.521098568021925
"3906"	"6"	"right"	"congruent"	"right"	0.246971952020926
"4950"	"6"	"left"	"congruent"	"left"	0.711987576156108
"4938"	"6"	"right"	"incongruent"	"right"	0.171736050954728
"2670"	"6"	"left"	"incongruent"	"right"	0.737165317736527
"3750"	"6"	"left"	"congruent"	"left"	0.19299622646722
"1902"	"6"	"left"	"incongruent"	"left"	0.375829158454693
"2718"	"6"	"left"	"incongruent"	"left"	0.358123632175829
"3834"	"6"	"right"	"incongruent"	"right"	0.26785521390823
"1338"	"6"	"right"	"incongruent"	"right"	0.42348981662234
"750"	"6"	"left"	"incongruent"	"left"	0.287898882504572
"42"	"6"	"right"	"incongruent"	"right"	0.546965885355838
"2562"	"6"	"right"	"congruent"	"right"	0.373655955056424
"4674"	"6"	"right"	"congruent"	"right"	0.354718138567372
"270"	"6"	"left"	"incongruent"	"right"	0.277809238472516
"3486"	"6"	"left"	"incongruent"	"left"	0.50462805153664
"4338"	"6"	"right"	"congruent"	"left"	0.86655159208578
"3678"	"6"	"left"	"incongruent"	"left"	0.24611860390264
"4278"	"6"	"left"	"congruent"	"left"	0.176318280858777
"474"	"6"	"right"	"incongruent"	"right"	0.318169392501848
"4050"	"6"	"right"	"congruent"	"right"	0.273406557024978
"246"	"6"	"left"	"congruent"	"left"	0.408766993780857
"1122"	"6"	"right"	"congruent"	"right"	0.238204882301699
"5034"	"6"	"right"	"incongruent"	"right"	0.427760863654289
"114"	"6"	"right"	"congruent"	"right"	0.216894349435186
"5166"	"6"	"left"	"incongruent"	"left"	0.2621566783854
"1014"	"6"	"left"	"congruent"	"left"	0.189733272080804
"822"	"6"	"left"	"congruent"	"left"	0.192007012454557
"2730"	"6"	"right"	"incongruent"	"left"	0.747691609965405
"294"	"6"	"left"	"congruent"	"left"	0.212591593722323
"1626"	"6"	"right"	"incongruent"	"right"	0.392722736876828
"2982"	"6"	"left"	"congruent"	"left"	0.197068097738159
"642"	"6"	"right"	"congruent"	"right"	0.540235535621671
"4806"	"6"	"left"	"congruent"	"left"	0.162353175885465
"1170"	"6"	"right"	"congruent"	"right"	0.518232851985686
"2802"	"6"	"right"	"congruent"	"right"	0.180007890206626
"2202"	"6"	"right"	"incongruent"	"right"	0.6470840102699
"5382"	"6"	"left"	"congruent"	"left"	0.313041901500175
"2430"	"6"	"left"	"incongruent"	"right"	0.418058356144775
"4723"	"7"	"right"	"congruent"	"left"	0.151577016430848
"1087"	"7"	"left"	"incongruent"	"left"	0.240760266237987
"4327"	"7"	"left"	"congruent"	"left"	0.25844301864475
"703"	"7"	"left"	"incongruent"	"left"	0.158220652065395
"835"	"7"	"right"	"congruent"	"right"	0.274163311444738
"2599"	"7"	"left"	"congruent"	"left"	0.296438406269489
"931"	"7"	"right"	"congruent"	"right"	0.201312940267462
"727"	"7"	"left"	"congruent"	"left"	0.335882211661767
"3091"	"7"	"right"	"congruent"	"left"	0.177211821969646
"5167"	"7"	"left"	"incongruent"	"left"	0.391929018765338
"1807"	"7"	"left"	"incongruent"	"left"	0.626318500373629
"4159"	"7"	"left"	"incongruent"	"left"	0.229158828878619
"715"	"7"	"right"	"incongruent"	"right"	0.215607640734216
"631"	"7"	"left"	"congruent"	"left"	0.182545551429577
"4975"	"7"	"left"	"incongruent"	"left"	0.42133248475552
"2011"	"7"	"right"	"incongruent"	"right"	0.190009465704847
"2959"	"7"	"left"	"incongruent"	"left"	0.187960571083686
"2299"	"7"	"right"	"incongruent"	"right"	0.259586520953069
"5251"	"7"	"right"	"congruent"	"right"	0.839144727011612
"2239"	"7"	"left"	"incongruent"	"left"	0.303475146923657
"5203"	"7"	"right"	"congruent"	"right"	0.299591440479524
"2107"	"7"	"right"	"incongruent"	"right"	0.334422207583191
"4903"	"7"	"left"	"congruent"	"left"	0.590518925089211
"163"	"7"	"right"	"congruent"	"left"	0.285204531436944
"1123"	"7"	"right"	"congruent"	"right"	0.322737509993536
"4663"	"7"	"left"	"congruent"	"left"	0.279388374543076
"1855"	"7"	"left"	"incongruent"	"left"	0.388769485791689
"2383"	"7"	"left"	"incongruent"	"right"	0.589023180462429
"4411"	"7"	"right"	"incongruent"	"left"	0.448145760969377
"4339"	"7"	"right"	"congruent"	"left"	0.500745824737319
"115"	"7"	"right"	"congruent"	"right"	0.189582948181879
"2167"	"7"	"left"	"congruent"	"left"	0.369758798339596
"2347"	"7"	"right"	"incongruent"	"right"	0.345612149082522
"1951"	"7"	"left"	"incongruent"	"left"	0.594798805220013
"4147"	"7"	"right"	"congruent"	"right"	0.494830910928111
"4195"	"7"	"right"	"congruent"	"right"	0.355583313746445
"403"	"7"	"right"	"congruent"	"left"	0.527400061036255
"3739"	"7"	"right"	"incongruent"	"left"	0.576025572458457
"5383"	"7"	"left"	"congruent"	"left"	0.338059785645351
"4219"	"7"	"right"	"incongruent"	"right"	0.546157156927244
"2911"	"7"	"left"	"incongruent"	"left"	0.210225990675008
"4603"	"7"	"right"	"incongruent"	"left"	0.221567420931382
"1771"	"7"	"right"	"incongruent"	"right"	0.178653403811228
"1015"	"7"	"left"	"congruent"	"left"	0.276247381573079
"3943"	"7"	"left"	"congruent"	"left"	0.3200861615291
"2971"	"7"	"right"	"incongruent"	"right"	0.850935628164737
"3475"	"7"	"right"	"congruent"	"right"	0.237354184076831
"3211"	"7"	"right"	"incongruent"	"left"	0.377371911465813
"3727"	"7"	"left"	"incongruent"	"left"	0.655236866372174
"1519"	"7"	"left"	"incongruent"	"left"	0.293977882011657
"3271"	"7"	"left"	"congruent"	"left"	0.38008917643786
"1183"	"7"	"left"	"incongruent"	"left"	1.1769735329693
"187"	"7"	"right"	"incongruent"	"right"	0.504342359806615
"2263"	"7"	"left"	"congruent"	"left"	0.584755475043666
"1543"	"7"	"left"	"congruent"	"left"	0.426816349147899
"1591"	"7"	"left"	"congruent"	"left"	0.317535278663448
"4243"	"7"	"right"	"congruent"	"right"	0.304714364638931
"3175"	"7"	"left"	"congruent"	"right"	0.191235806677701
"571"	"7"	"right"	"incongruent"	"right"	0.500759201975584
"5083"	"7"	"right"	"incongruent"	"right"	0.253580664395578
"4459"	"7"	"right"	"incongruent"	"right"	0.567741136231922
"859"	"7"	"right"	"incongruent"	"right"	0.313919088098191
"5467"	"7"	"right"	"incongruent"	"right"	0.433604184832804
"1135"	"7"	"left"	"incongruent"	"left"	0.419792121460599
"4651"	"7"	"right"	"incongruent"	"right"	0.742408396768927
"5071"	"7"	"left"	"incongruent"	"left"	0.576844790961136
"2899"	"7"	"right"	"congruent"	"left"	0.559737783384627
"31"	"7"	"left"	"incongruent"	"left"	0.49518364245601
"2611"	"7"	"right"	"congruent"	"right"	0.199204602395065
"139"	"7"	"right"	"incongruent"	"right"	0.171558739565369
"1675"	"7"	"right"	"incongruent"	"right"	0.263236046412384
"4591"	"7"	"left"	"incongruent"	"left"	0.24654614136395
"3043"	"7"	"right"	"congruent"	"right"	0.317241386125479
"1267"	"7"	"right"	"congruent"	"right"	0.568708881217725
"1999"	"7"	"left"	"incongruent"	"right"	0.547652607301835
"2851"	"7"	"right"	"congruent"	"right"	0.243584305414595
"3427"	"7"	"right"	"congruent"	"left"	0.172188890672047
"247"	"7"	"left"	"congruent"	"left"	0.434600094192761
"523"	"7"	"right"	"incongruent"	"left"	0.486625136695061
"211"	"7"	"right"	"congruent"	"right"	0.337540825641387
"307"	"7"	"right"	"congruent"	"right"	0.219751157731325
"4291"	"7"	"right"	"congruent"	"right"	0.215180261009577
"3847"	"7"	"left"	"congruent"	"right"	0.268127186638837
"1987"	"7"	"right"	"congruent"	"left"	0.349152069649302
"1579"	"7"	"right"	"incongruent"	"right"	0.399881341150746
"5023"	"7"	"left"	"incongruent"	"left"	0.257570607310587
"5095"	"7"	"left"	"congruent"	"left"	0.452408299201474
"799"	"7"	"left"	"incongruent"	"left"	0.376777817086019
"1039"	"7"	"left"	"incongruent"	"left"	0.199239013042589
"2863"	"7"	"left"	"incongruent"	"left"	0.598889179965408
"3115"	"7"	"right"	"incongruent"	"right"	0.242891543341342
"4819"	"7"	"right"	"congruent"	"right"	0.372720527154382
"2455"	"7"	"left"	"congruent"	"left"	0.261242911726297
"1003"	"7"	"right"	"incongruent"	"left"	0.631720857447356
"2875"	"7"	"right"	"incongruent"	"right"	0.637347213360533
"4111"	"7"	"left"	"incongruent"	"left"	0.381465815195745
"2323"	"7"	"right"	"congruent"	"right"	0.365891585871924
"1795"	"7"	"right"	"congruent"	"right"	0.410091968417413
"1615"	"7"	"left"	"incongruent"	"left"	1.01894863086227
"5263"	"7"	"left"	"incongruent"	"left"	0.380656757625482
"1159"	"7"	"left"	"congruent"	"left"	0.161317112408658
"5431"	"7"	"left"	"congruent"	"right"	0.50747074574781
"1027"	"7"	"right"	"congruent"	"right"	0.609809433769914
"955"	"7"	"right"	"incongruent"	"right"	0.205432556232562
"1687"	"7"	"left"	"congruent"	"left"	0.24061684578085
"4483"	"7"	"right"	"congruent"	"right"	0.219091976927365
"883"	"7"	"right"	"congruent"	"right"	0.439199200850349
"3463"	"7"	"left"	"congruent"	"left"	0.71090805667215
"5395"	"7"	"right"	"congruent"	"right"	0.299319497106571
"4639"	"7"	"left"	"incongruent"	"left"	0.920724780940541
"1891"	"7"	"right"	"congruent"	"right"	0.22067804411356
"4843"	"7"	"right"	"incongruent"	"right"	0.376563886203254
"2683"	"7"	"right"	"incongruent"	"right"	0.255988192504857
"5503"	"7"	"left"	"incongruent"	"right"	1.07106374700463
"4963"	"7"	"right"	"congruent"	"right"	0.190946899996694
"4447"	"7"	"left"	"incongruent"	"left"	0.28468156271777
"4003"	"7"	"right"	"congruent"	"right"	0.457220397317437
"7"	"7"	"left"	"congruent"	"left"	0.172067270281381
"3895"	"7"	"left"	"congruent"	"right"	0.304122333736215
"2731"	"7"	"right"	"incongruent"	"right"	0.305620718456108
"943"	"7"	"left"	"incongruent"	"left"	0.689970502016847
"2623"	"7"	"left"	"incongruent"	"left"	0.505339826957786
"4783"	"7"	"left"	"incongruent"	"left"	0.420524189480339
"3655"	"7"	"left"	"congruent"	"left"	0.38372300100289
"5131"	"7"	"right"	"incongruent"	"right"	0.416262258126097
"3919"	"7"	"left"	"incongruent"	"left"	0.677532089493555
"5335"	"7"	"left"	"congruent"	"left"	0.36295043684093
"223"	"7"	"left"	"incongruent"	"left"	0.547639333848075
"3595"	"7"	"right"	"incongruent"	"right"	0.226096426782165
"2935"	"7"	"left"	"congruent"	"left"	0.375941048857717
"1171"	"7"	"right"	"congruent"	"right"	0.331681646617008
"2491"	"7"	"right"	"incongruent"	"right"	0.200478259713333
"2407"	"7"	"left"	"congruent"	"right"	0.349710230730723
"2695"	"7"	"left"	"congruent"	"left"	0.201046749153826
"4507"	"7"	"right"	"incongruent"	"right"	0.274229595561622
"3859"	"7"	"right"	"congruent"	"right"	0.385016455984132
"4891"	"7"	"right"	"incongruent"	"left"	0.191870985626462
"415"	"7"	"left"	"incongruent"	"left"	0.216017695693561
"1831"	"7"	"left"	"congruent"	"left"	0.43449015700577
"2671"	"7"	"left"	"incongruent"	"left"	0.68100873216107
"691"	"7"	"right"	"congruent"	"right"	0.226867379427744
"919"	"7"	"left"	"congruent"	"left"	0.206761241675995
"751"	"7"	"left"	"incongruent"	"left"	0.365177984490224
"3631"	"7"	"left"	"incongruent"	"left"	0.200503469223829
"1711"	"7"	"left"	"incongruent"	"left"	0.204395367952157
"271"	"7"	"left"	"incongruent"	"left"	0.299099320180864
"2635"	"7"	"right"	"incongruent"	"right"	0.630674720632279
"5323"	"7"	"right"	"incongruent"	"right"	0.378635061689914
"3007"	"7"	"left"	"incongruent"	"left"	0.425034144200169
"3871"	"7"	"left"	"incongruent"	"left"	0.454484835229454
"331"	"7"	"right"	"incongruent"	"right"	0.375211185212539
"3775"	"7"	"left"	"incongruent"	"left"	1.38364767472671
"3067"	"7"	"right"	"incongruent"	"right"	0.17639378575746
"1255"	"7"	"left"	"congruent"	"left"	0.727679543790049
"55"	"7"	"left"	"congruent"	"left"	0.281814831942795
"2071"	"7"	"left"	"congruent"	"left"	0.340696334037162
"1843"	"7"	"right"	"congruent"	"right"	0.365001636781671
"535"	"7"	"left"	"congruent"	"left"	0.364145204414677
"4171"	"7"	"right"	"incongruent"	"right"	0.268748718708198
"427"	"7"	"right"	"incongruent"	"left"	0.336988973146563
"823"	"7"	"left"	"congruent"	"left"	0.267896075901609
"2947"	"7"	"right"	"congruent"	"right"	0.291529919841984
"4495"	"7"	"left"	"incongruent"	"left"	0.299383970768284
"5455"	"7"	"left"	"incongruent"	"left"	0.392820310317551
"3763"	"7"	"right"	"congruent"	"right"	0.297584948134244
"3487"	"7"	"left"	"incongruent"	"left"	0.191632247826944
"2515"	"7"	"right"	"congruent"	"right"	0.169161848025854
"4555"	"7"	"right"	"incongruent"	"right"	0.187425558094996
"1723"	"7"	"right"	"incongruent"	"right"	0.448210062107924
"4699"	"7"	"right"	"incongruent"	"right"	0.356400465785955
"3391"	"7"	"left"	"incongruent"	"left"	0.399132489975086
"1147"	"7"	"right"	"incongruent"	"right"	0.408466075090752
"2371"	"7"	"right"	"congruent"	"right"	0.246443922412798
"1975"	"7"	"left"	"congruent"	"left"	0.275048814526313
"5419"	"7"	"right"	"incongruent"	"right"	0.192639486451045
"1063"	"7"	"left"	"congruent"	"left"	0.280914414209856
"1387"	"7"	"right"	"incongruent"	"right"	0.76343618511696
"679"	"7"	"left"	"congruent"	"left"	0.238174430097083
"1315"	"7"	"right"	"congruent"	"right"	0.185815841267429
"5479"	"7"	"left"	"congruent"	"left"	0.340129354293544
"5035"	"7"	"right"	"incongruent"	"right"	0.506646413093051
"5347"	"7"	"right"	"congruent"	"right"	0.336229957977756
"4399"	"7"	"left"	"incongruent"	"left"	0.459981255504302
"2095"	"7"	"left"	"incongruent"	"left"	0.438895668318315
"2539"	"7"	"right"	"incongruent"	"right"	0.432441710714114
"3127"	"7"	"left"	"congruent"	"left"	0.173663625117742
"4279"	"7"	"left"	"congruent"	"left"	0.573608701652482
"1663"	"7"	"left"	"incongruent"	"right"	0.502789916391016
"2467"	"7"	"right"	"congruent"	"right"	0.225596593682004
"4951"	"7"	"left"	"congruent"	"left"	0.336480214828768
"151"	"7"	"left"	"congruent"	"left"	0.274734457831849
"643"	"7"	"right"	"congruent"	"right"	0.30800375048693
"295"	"7"	"left"	"congruent"	"left"	0.245801823083572
"4135"	"7"	"left"	"congruent"	"right"	0.221603011315673
"3931"	"7"	"right"	"incongruent"	"left"	0.260841179178968
"2335"	"7"	"left"	"incongruent"	"left"	0.376761060131725
"5011"	"7"	"right"	"congruent"	"right"	0.222439708391651
"3547"	"7"	"right"	"incongruent"	"right"	0.56196367246137
"2275"	"7"	"right"	"congruent"	"right"	0.328367668969163
"1195"	"7"	"right"	"incongruent"	"right"	0.771719682310658
"1111"	"7"	"left"	"congruent"	"right"	0.40553540080239
"5299"	"7"	"right"	"congruent"	"right"	0.208143690567577
"871"	"7"	"left"	"congruent"	"left"	0.528056919625864
"3079"	"7"	"left"	"congruent"	"left"	0.500727621118635
"1399"	"7"	"left"	"congruent"	"right"	0.255696597784853
"175"	"7"	"left"	"incongruent"	"left"	0.562510211130894
"3835"	"7"	"right"	"incongruent"	"left"	0.402301280232816
"3343"	"7"	"left"	"incongruent"	"left"	0.453471272407438
"487"	"7"	"left"	"congruent"	"left"	0.323878591643257
"2035"	"7"	"right"	"congruent"	"right"	0.275794292252166
"1903"	"7"	"left"	"incongruent"	"left"	1.21429297792935
"391"	"7"	"left"	"congruent"	"left"	0.263918435158464
"1879"	"7"	"left"	"congruent"	"left"	0.45481318158917
"2395"	"7"	"right"	"incongruent"	"right"	0.266212851657041
"1783"	"7"	"left"	"congruent"	"left"	0.339406276169694
"1363"	"7"	"right"	"congruent"	"right"	0.462707942032531
"3139"	"7"	"right"	"congruent"	"right"	0.212633849370828
"3751"	"7"	"left"	"congruent"	"right"	0.308326997689431
"1963"	"7"	"right"	"incongruent"	"right"	0.277540857351008
"2887"	"7"	"left"	"congruent"	"left"	0.373232467531947
"2803"	"7"	"right"	"congruent"	"left"	0.396324172557874
"2359"	"7"	"left"	"congruent"	"left"	0.903855041877483
"5287"	"7"	"left"	"congruent"	"right"	0.279967124373891
"3031"	"7"	"left"	"congruent"	"left"	0.315857047743859
"4675"	"7"	"right"	"congruent"	"left"	0.515456161266853
"67"	"7"	"right"	"congruent"	"left"	0.269470653859709
"2527"	"7"	"left"	"incongruent"	"left"	0.461878836324264
"4231"	"7"	"left"	"congruent"	"left"	0.353572249617269
"1075"	"7"	"right"	"congruent"	"right"	0.590358013095991
"4567"	"7"	"left"	"congruent"	"left"	0.220278839238536
"3823"	"7"	"left"	"incongruent"	"left"	0.177417274976861
"4183"	"7"	"left"	"congruent"	"left"	0.156895707211264
"3559"	"7"	"left"	"congruent"	"left"	0.322531466006273
"367"	"7"	"left"	"incongruent"	"right"	0.237938185087398
"619"	"7"	"right"	"incongruent"	"right"	0.480986722222311
"655"	"7"	"left"	"incongruent"	"left"	0.224774755145496
"4387"	"7"	"right"	"congruent"	"right"	0.221197381518826
"3583"	"7"	"left"	"incongruent"	"left"	0.675663755790117
"3679"	"7"	"left"	"incongruent"	"right"	0.449705226326599
"4999"	"7"	"left"	"congruent"	"left"	0.207559354359666
"4855"	"7"	"left"	"congruent"	"left"	0.21341964851086
"4987"	"7"	"right"	"incongruent"	"right"	0.622811321402188
"2083"	"7"	"right"	"congruent"	"right"	0.450879578823354
"2131"	"7"	"right"	"congruent"	"left"	0.254322147269531
"1939"	"7"	"right"	"congruent"	"right"	0.156945426068853
"2251"	"7"	"right"	"incongruent"	"right"	0.260536096980897
"3163"	"7"	"right"	"incongruent"	"right"	0.697207928248273
"2047"	"7"	"left"	"incongruent"	"left"	0.180696711667245
"991"	"7"	"left"	"incongruent"	"left"	0.192856004770658
"4759"	"7"	"left"	"congruent"	"right"	0.286136506078591
"4267"	"7"	"right"	"incongruent"	"right"	0.192091790369999
"511"	"7"	"left"	"incongruent"	"left"	0.368512798077892
"1435"	"7"	"right"	"incongruent"	"right"	0.733838735029132
"3403"	"7"	"right"	"incongruent"	"left"	0.292473502038641
"5179"	"7"	"right"	"incongruent"	"right"	0.296234869408336
"1627"	"7"	"right"	"incongruent"	"right"	0.291089869217173
"463"	"7"	"left"	"incongruent"	"left"	0.380110604901792
"583"	"7"	"left"	"congruent"	"left"	0.666904016986513
"199"	"7"	"left"	"congruent"	"left"	0.274189007655054
"4711"	"7"	"left"	"congruent"	"left"	0.188090388283459
"5107"	"7"	"right"	"congruent"	"right"	0.440214160059247
"1231"	"7"	"left"	"incongruent"	"left"	0.401917539433094
"5119"	"7"	"left"	"incongruent"	"left"	0.238326628006167
"3379"	"7"	"right"	"congruent"	"right"	0.443700704509954
"2587"	"7"	"right"	"incongruent"	"right"	0.140438512369581
"4207"	"7"	"left"	"incongruent"	"left"	0.777177602387589
"3667"	"7"	"right"	"congruent"	"right"	1.16340983616811
"3151"	"7"	"left"	"incongruent"	"right"	0.374360099007889
"3499"	"7"	"right"	"incongruent"	"right"	0.511407602893727
"2923"	"7"	"right"	"incongruent"	"right"	0.965578996668504
"1207"	"7"	"left"	"congruent"	"left"	0.603777461348089
"2767"	"7"	"left"	"incongruent"	"left"	0.31070595748133
"3703"	"7"	"left"	"congruent"	"left"	0.19824759800168
"259"	"7"	"right"	"congruent"	"right"	0.167032075481538
"3019"	"7"	"right"	"incongruent"	"right"	0.22558779121517
"3799"	"7"	"left"	"congruent"	"left"	0.33436531157546
"667"	"7"	"right"	"incongruent"	"right"	0.150943080888239
"1291"	"7"	"right"	"incongruent"	"right"	0.309535634240597
"2023"	"7"	"left"	"congruent"	"right"	0.43102195275042
"1375"	"7"	"left"	"incongruent"	"left"	0.587285748079529
"1603"	"7"	"right"	"congruent"	"right"	0.173978883004839
"4303"	"7"	"left"	"incongruent"	"left"	0.467128088180792
"283"	"7"	"right"	"incongruent"	"left"	0.670507152556538
"5515"	"7"	"right"	"incongruent"	"left"	0.268352258939004
"4831"	"7"	"left"	"incongruent"	"left"	0.312362833415289
"5143"	"7"	"left"	"congruent"	"left"	0.536640386995253
"3715"	"7"	"right"	"congruent"	"right"	0.709421367097861
"2827"	"7"	"right"	"incongruent"	"right"	0.528183815016573
"5443"	"7"	"right"	"congruent"	"right"	0.358146145094535
"3571"	"7"	"right"	"congruent"	"right"	1.07747373164013
"4315"	"7"	"right"	"incongruent"	"right"	0.195733310801892
"3991"	"7"	"left"	"congruent"	"left"	0.640514341388506
"2839"	"7"	"left"	"congruent"	"left"	0.199125307358445
"5155"	"7"	"right"	"congruent"	"right"	0.704745052018465
"4471"	"7"	"left"	"congruent"	"left"	0.274303142659777
"235"	"7"	"right"	"incongruent"	"right"	0.485832459169538
"1099"	"7"	"right"	"incongruent"	"left"	0.402677908972849
"1327"	"7"	"left"	"incongruent"	"right"	0.730839753002958
"4423"	"7"	"left"	"congruent"	"right"	1.07558606912388
"1747"	"7"	"right"	"congruent"	"right"	0.251186888365301
"5359"	"7"	"left"	"incongruent"	"left"	0.359710362954702
"5407"	"7"	"left"	"incongruent"	"left"	0.310125989388245
"3187"	"7"	"right"	"congruent"	"left"	0.326216494678206
"5227"	"7"	"right"	"incongruent"	"right"	0.158316306769316
"2647"	"7"	"left"	"congruent"	"left"	0.352545361707682
"4927"	"7"	"left"	"incongruent"	"left"	0.16831531605642
"1699"	"7"	"right"	"congruent"	"right"	0.158847729572819
"1423"	"7"	"left"	"incongruent"	"left"	0.392689185448795
"5311"	"7"	"left"	"incongruent"	"left"	0.229984375030888
"3199"	"7"	"left"	"incongruent"	"left"	0.193404866518637
"475"	"7"	"right"	"incongruent"	"right"	0.258050621688088
"3307"	"7"	"right"	"incongruent"	"right"	0.267788682771375
"3319"	"7"	"left"	"congruent"	"left"	0.209470072606097
"3439"	"7"	"left"	"incongruent"	"left"	0.552324630716205
"3787"	"7"	"right"	"incongruent"	"right"	0.534701167415407
"607"	"7"	"left"	"incongruent"	"left"	0.255439275673028
"1279"	"7"	"left"	"incongruent"	"left"	0.819131817615607
"4687"	"7"	"left"	"incongruent"	"left"	0.342043832264711
"4075"	"7"	"right"	"incongruent"	"right"	0.539180586659559
"787"	"7"	"right"	"congruent"	"left"	0.290568665152748
"1819"	"7"	"right"	"incongruent"	"right"	0.54531534345164
"3967"	"7"	"left"	"incongruent"	"left"	0.170976853512032
"3103"	"7"	"left"	"incongruent"	"left"	0.344989142832678
"4771"	"7"	"right"	"congruent"	"right"	0.437873531557349
"3691"	"7"	"right"	"incongruent"	"right"	0.284084318144542
"103"	"7"	"left"	"congruent"	"left"	0.339486701008425
"1531"	"7"	"right"	"incongruent"	"right"	0.45827608590357
"3283"	"7"	"right"	"congruent"	"right"	0.47255818233748
"439"	"7"	"left"	"congruent"	"right"	0.228472026567197
"1759"	"7"	"left"	"incongruent"	"left"	0.62837955940823
"4255"	"7"	"left"	"incongruent"	"left"	0.248513555832626
"1735"	"7"	"left"	"congruent"	"left"	0.698952469024488
"4519"	"7"	"left"	"congruent"	"left"	0.202950768204501
"547"	"7"	"right"	"congruent"	"right"	0.227241372696426
"3247"	"7"	"left"	"incongruent"	"left"	0.209448762971615
"1927"	"7"	"left"	"congruent"	"left"	0.499078781737848
"3523"	"7"	"right"	"congruent"	"right"	0.287818272930642
"2215"	"7"	"left"	"congruent"	"left"	0.56032643898721
"3223"	"7"	"left"	"congruent"	"left"	0.183932605605111
"2431"	"7"	"left"	"incongruent"	"left"	0.416882531346006
"1339"	"7"	"right"	"incongruent"	"right"	0.327455413923791
"2059"	"7"	"right"	"incongruent"	"left"	0.233182504155571
"5491"	"7"	"right"	"congruent"	"right"	0.224502073626062
"2191"	"7"	"left"	"incongruent"	"left"	0.203076506821019
"355"	"7"	"right"	"congruent"	"right"	0.18550496245424
"451"	"7"	"right"	"congruent"	"right"	0.841290711885334
"3811"	"7"	"right"	"congruent"	"right"	0.421108145632647
"2755"	"7"	"right"	"congruent"	"right"	0.291365152709019
"4375"	"7"	"left"	"congruent"	"left"	0.558403948557688
"3955"	"7"	"right"	"congruent"	"right"	0.201717928094752
"4063"	"7"	"left"	"incongruent"	"left"	0.377497741361987
"2419"	"7"	"right"	"congruent"	"right"	0.276340104974965
"1459"	"7"	"right"	"congruent"	"right"	0.21018635935917
"2443"	"7"	"right"	"incongruent"	"right"	0.257258369727346
"1051"	"7"	"right"	"incongruent"	"right"	0.268045760374416
"4615"	"7"	"left"	"congruent"	"right"	0.403757598567679
"2791"	"7"	"left"	"congruent"	"left"	0.345260750941517
"79"	"7"	"left"	"incongruent"	"left"	0.688969480907515
"559"	"7"	"left"	"incongruent"	"left"	0.324728420816018
"3907"	"7"	"right"	"congruent"	"left"	0.257107023608246
"343"	"7"	"left"	"congruent"	"right"	0.361999459066324
"43"	"7"	"right"	"incongruent"	"right"	0.363404665411103
"3883"	"7"	"right"	"incongruent"	"right"	0.243120577961142
"2227"	"7"	"right"	"congruent"	"right"	0.912238402694859
"811"	"7"	"right"	"incongruent"	"right"	0.334030586587264
"2779"	"7"	"right"	"incongruent"	"right"	0.303401654936037
"2479"	"7"	"left"	"incongruent"	"left"	0.187114852579303
"5371"	"7"	"right"	"incongruent"	"right"	0.458468376250141
"4363"	"7"	"right"	"incongruent"	"left"	0.347327842570331
"1471"	"7"	"left"	"incongruent"	"left"	0.231523263147241
"907"	"7"	"right"	"incongruent"	"right"	0.332541011192603
